127.0.0.1 - - [18/Sep/2018:15:49:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:49:50 +0900] "GET /myapp/ HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:49:50 +0900] "GET /myapp/resources/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:49:50 +0900] "GET /myapp/resources/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:49:50 +0900] "GET /myapp/resources/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:29 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:29 +0900] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:29 +0900] "GET /apple-touch-icon.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:34 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:37 +0900] "GET /home HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:42 +0900] "GET /home/ HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:52 +0900] "GET /home HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:53 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:52:53 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:16 +0900] "GET /myapp/ HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:51 +0900] "GET /myapp/ HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:51 +0900] "GET /myapp/resources/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:51 +0900] "GET /myapp/resources/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:53:51 +0900] "GET /myapp/resources/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
